Trace
Swept SA
A.21.04,N9000B
36040000,-109.739784240723
36080000,-93.1290969848633
36120000,-100.997329711914
36160000,-92.0494384765625
36200000,-118.722343444824
36240000,-92.6848373413086
36280000,-112.870155334473
36320000,-92.4626998901367
36360000,-109.038764953613
36400000,-92.2345962524414
36440000,-109.450820922852
36480000,-91.0498352050781
36520000,-105.36742401123
36560000,-91.2648239135742
36600000,-110.59977722168
36640000,-95.843879699707
36680000,-108.778442382813
36720000,-89.1138534545898
36760000,-109.872451782227
36800000,-93.5985565185547
36840000,-109.084197998047
36880000,-91.9898071289063
36920000,-109.701675415039
36960000,-91.3424911499023
37000000,-102.198921203613
37040000,-92.2668991088867
37080000,-110.83748626709
37120000,-93.5078125
37160000,-108.544380187988
37200000,-93.126823425293
37240000,-103.794548034668
37280000,-93.5317001342773
37320000,-111.791763305664
37360000,-92.6084899902344
37400000,-102.222816467285
37440000,-92.2060012817383
37480000,-100.899505615234
37520000,-92.2681121826172
37560000,-100.065864562988
37600000,-93.2820892333984
37640000,-108.403457641602
37680000,-91.3783340454102
37720000,-106.152153015137
37760000,-93.4242172241211
37800000,-110.365730285645
37840000,-95.4987564086914
37880000,-111.474067687988
37920000,-94.3653335571289
37960000,-113.088790893555
38000000,-94.0703353881836
38040000,-105.629020690918
38080000,-94.1288528442383
38120000,-110.77417755127
38160000,-90.9113311767578
38200000,-104.349891662598
38240000,-92.4770889282227
38280000,-108.746200561523
38320000,-94.0285110473633
38360000,-98.6421890258789
38400000,-89.4303436279297
38440000,-100.234222412109
38480000,-93.0754241943359
38520000,-102.089004516602
38560000,-90.9160690307617
38600000,-101.77368927002
38640000,-91.543083190918
38680000,-103.523368835449
38720000,-89.8746032714844
38760000,-102.319480895996
38800000,-91.8559799194336
38840000,-108.85124206543
38880000,-91.9634552001953
38920000,-112.724426269531
38960000,-94.4942245483398
39000000,-112.546463012695
39040000,-89.6488265991211
39080000,-106.206962585449
39120000,-91.5597381591797
39160000,-112.710060119629
39200000,-92.5916213989258
39240000,-113.979614257813
39280000,-91.2909851074219
39320000,-106.23558807373
39360000,-91.5143127441406
39400000,-109.167640686035
39440000,-91.7854080200195
39480000,-105.975196838379
39520000,-94.4081344604492
39560000,-105.171394348145
39600000,-94.2433013916016
39640000,-104.029602050781
39680000,-90.3856048583984
39720000,-102.346778869629
39760000,-91.0938262939453
39800000,-102.585624694824
39840000,-91.3708953857422
39880000,-104.039100646973
39920000,-93.2770156860352
39960000,-103.228134155273
40000000,-91.4365386962891
